Language,Gender,Filename,Text
en,male,119.wav,he knew that I had fixed my plane
en,male,120.wav,it wasn't my choice
en,male,122.wav,it is as he said I look at the stars and I hear him laughing
en,male,123.wav,it would comfort me very much now for sure but
en,male,124.wav,I choose to believe he's up there
en,male,125.wav,oh but if you look with your heart I'll always be with you
en,male,126.wav,it's it's just like I know the little prince will always be with his rose
en,male,127.wav,my sweetheart little prince will never forget you always be up there for us to help us
en,male,130.wav,share
en,male,131.wav,don't
en,male,133.wav,oh
en,male,134.wav,are
en,male,135.wav,oh
en,male,137.wav,though
en,male,138.wav,inside speeding changes everything running multiple red lights
en,male,139.wav,structure of city property
en,male,140.wav,no use of trans secret no signals
en,male,141.wav,update
en,male,142.wav,uniformed officer of the law
en,male,143.wav,oh
en,male,144.wav,haa
en,male,145.wav,yeah I my subjects
en,male,146.wav,you wish what he said
en,male,147.wav,what's top floor
en,male,149.wav,wow
en,male,150.wav,yes yes no I was just taking a little break
en,male,151.wav,oh that's great please don't report me breaks over I'm working
en,male,152.wav,him can I
en,male,153.wav,yeah
en,male,154.wav,excuse me I'm very busy
en,male,155.wav,what does it look like I have time for friends I'm working
en,male,156.wav,wow
en,male,157.wav,have to work thank you
en,male,158.wav,why did you do that why did you do
en,male,159.wav,its right I don't need to cry
en,male,160.wav,I need to cry I'm a grown up I'm a grown man
en,male,161.wav,my brushes got knocked over I don't need to cum
en,male,162.wav,mark
en,male,163.wav,children are certainly very very very odd this is not good someone who can help
en,male,164.wav,Mr pregnant lessens surprise
en,male,165.wav,yeah we don't know my
en,male,166.wav,I'll make an exception
en,male,167.wav,so have you been thanks good I love my job cleaning the roof wonderful
en,male,168.wav,anything in the central must be made essential dumb really created you might call it a work of art but of course you'll be wrongvery very nothing so trivial that its more important much more
en,male,169.wav,this how they help me
en,male,170.wav,you finally did something right businessman central like bitch yes I ain't most
en,male,171.wav,good you brought with you
en,male,172.wav,now there's nothing essential in here
en,male,173.wav,credibly succeed
en,male,174.wav,not at all
en,male,175.wav,here we take a more accelerated approach to growing up
en,male,176.wav,that right Mr never mind
en,male,177.wav,oh I didn't think that through the business man is going to be very disappointed in me
en,male,178.wav,I never knew what this was or where I even got it but I thought maybe it was important to
en,male,179.wav,my sheep
en,male,180.wav,I don't get it
en,male,181.wav,five hundred and one million six hundred and twenty two thousand seven hundred and thirty
en,male,182.wav,oh shit with me oh I almost used to be merely golden objects in the sky it's sad lazy man
en,male,183.wav,the stars have finally been made a saint
en,male,184.wav,she's curious isn't that just like
en,male,185.wav,thank you alright ha ha
en,male,186.wav,don't worry my
en,male,187.wav,innocent Jill has become perfectly how it should be for all
en,male,188.wav,make sure no one need to feel
en,male,189.wav,I give you three hundred and seventy one jobs and you have been fired from three hundred and seventy I think it's time you get back to work my little failure
en,male,190.wav,take your hands off her what stop I'm not a failure
en,male,191.wav,he thinks he's little pregnant
en,male,192.wav,I'm not focused on I'm hopeful I'm full of hope and I love a rose for me
en,male,193.wav,very bad for business
en,male,194.wav,what's happening
en,male,196.wav,yeah
en,male,198.wav,you're here
en,male,199.wav,I don't even remember
en,male,200.wav,remember who you are
en,male,202.wav,you could this
en,male,203.wav,oh my drawing all in order
en,male,204.wav,this is so wonderful
