Language,Gender,Filename,Text
en,female,82.wav,ha ha
en,female,83.wav,roses just to come and rose but she told me she was the only one of her kind in the whole universe
en,female,84.wav,right but I'm not lonely I thought you know
en,female,85.wav,what do you mean just in time
en,female,86.wav,but he already has his rose
en,female,87.wav,but my birthday is not for two weeks
en,female,88.wav,let the one you crash
en,female,89.wav,good afternoon officer if I may interject for I'm
en,female,90.wav,did you know it's my birthday
en,female,91.wav,mom I can wait for me inside but now
en,female,92.wav,God no no no no
en,female,93.wav,according to this you're still in bed
en,female,94.wav,even have a driver's license oh no they took it away after the fourth time he drove away with the gas pump attached
en,female,95.wav,you come from killed mom I can explain no you mean you can lie you've been lying to me you like to the police officer oh yes right before I forget happy birthday
en,female,96.wav,you even manage to light your life plan
en,female,97.wav,shouldn't box full of magnets sometimes I think you care about it more than me you're wrong
en,female,98.wav,I care about it as much as I care about you is you
en,female,99.wav,this is your life and I'm the only one taking any responsibility for it that's your version of my life not mine
en,female,100.wav,if you are ever around you'd see that
en,female,101.wav,why I have to work so hard
en,female,102.wav,you just like him now
en,female,103.wav,how long until you completely disappear
en,female,104.wav,I believe that for his escape he took advantage of the migration of a flock of wild birds ok ok you have two weeks to focus on what is essential
en,female,105.wav,script hello
en,female,106.wav,what makes the desert beautiful is that somewhere it hides a well
en,female,107.wav,what they are looking for could be found in a single rose
en,female,108.wav,let's go look for a
en,female,109.wav,it's okay this will be the last time what let's go get that plane earning
en,female,110.wav,I think if you guys managed to walk into the desert and find a well then we can go find a little prince he'll be able to help
en,female,111.wav,We're gonna have to fix our wings first
en,female,112.wav,I won't be any trouble
en,female,113.wav,I won't take up much room in the flame I promise
en,female,114.wav,don't go without me
en,female,115.wav,I shall be there tonight wait for me
en,female,116.wav,it is much further it is much more difficult
en,female,117.wav,I'm going to make you
en,female,118.wav,one of those stars I shall be living in one of them I shall be
en,female,119.wav,and so when you look up at the sky at night it'll be
en,female,120.wav,I'm go that's the snake
en,female,121.wav,you understand it is too far I cannot carry this body with
en,female,122.wav,it will be like old abandoned shell there's nothing sad about old shells
en,female,123.wav,you said he's up there didn't you
en,female,124.wav,but you don't know for sure
en,female,125.wav,so why you want me to when you go
en,female,126.wav,just look at the stars
en,female,127.wav,make believe that you're not gone
en,female,128.wav,you can't know for sure what if he's not back with his rope what if he's all grown up and alone
en,female,129.wav,I don't want his help
en,female,130.wav,I hate the little prince I always my whole summer on a little French but I wish you would never told me the story story
en,female,131.wav,tomorrow is an important day
en,female,132.wav,theater
en,female,133.wav,so sorry
en,female,134.wav,don't do bad
en,female,135.wav,and are you sorry officer fuck me just explain
en,female,136.wav,oh
en,female,137.wav,I'm just trying to find my friend
en,female,138.wav,a friend of a friend we never pushed
en,female,139.wav,I'm just gonna probably take him home attempt to get up
en,female,140.wav,me why are you not on your plan
en,female,141.wav,why you so small because I'm a child
en,female,142.wav,when conditions are favorable
en,female,143.wav,are you okay
en,female,144.wav,I thought you were someone else
en,female,145.wav,wasn't him
en,female,146.wav,Mr
en,female,147.wav,not going to like this
en,female,148.wav,supposed to give it this mark give me that
en,female,149.wav,just call oh haha I'm working
en,female,150.wav,want to travel with the block of migraine
en,female,151.wav,you changed the fox fox like him never had a path wasn't your pet he was your friend
en,female,152.wav,rose a really beautiful one miraculous even when it was unique in all the world
en,female,153.wav,don't
en,female,154.wav,oh
en,female,155.wav,you so short
en,female,156.wav,sure about this
en,female,157.wav,what do you you said you would help am
en,female,158.wav,this evidence child
en,female,159.wav,please those are important
en,female,160.wav,how could everything essential fit into just one
en,female,161.wav,so what I'm supposed to read this over and over and over and until I am old
en,female,162.wav,hater gave it to you in the desert on earth day
en,female,163.wav,you're supposed to just count the stars
en,female,164.wav,hey where did you get that
en,female,165.wav,what are you gonna do with all the stars
en,female,166.wav,about
en,female,167.wav,ha ha ha ha ha
en,female,168.wav,supposed to be
en,female,169.wav,grow up
en,female,170.wav,fuck you know about him
en,female,171.wav,sweetie damn relate
en,female,172.wav,we need to stop at the hospital before school
en,female,173.wav,that's sweet
en,female,174.wav,haha
en,female,175.wav,i've got something to show you
