Language,Gender,Filename,Active time,Alignment,Tokens
cn,female,10.wav,"[(0, 4240)]","[('这个', 0, 220), ('计划', 220, 470), ('叫', 470, 660), ('你', 660, 820), ('的', 820, 980), ('人生', 980, 2150), ('大计', 2150, 2850), ('人生', 2850, 3300), ('大计', 3300, 4240)]",这个 计划 叫 你 的 人生 大计 人生 大计
en,female,12.wav,"[(0, 3800)]","[('i', 0, 50), ('call', 50, 710), ('it', 710, 1580), ('your', 1580, 1780), ('life', 1780, 2150), ('plan', 2150, 3120), ('life', 3120, 3630), ('plan', 3630, 3800)]",i call it your life plan life plan
cn,female,19.wav,"[(0, 1340)]","[('你', 0, 150), ('哪', 150, 210), ('来', 210, 460), ('的', 460, 560), ('这么', 560, 780), ('多', 780, 880), ('零钱', 880, 1340)]",你 哪 来 的 这么 多 零钱
en,female,25.wav,"[(0, 835)]","[('where', 0, 150), ('did', 150, 240), ('you', 240, 300), ('get', 300, 430), ('the', 430, 630), ('pennies', 630, 835)]",where did you get the pennies
cn,female,20.wav,"[(0, 855)]","[('是', 0, 140), ('隔壁', 140, 510), ('的', 510, 620), ('老爷爷', 620, 855)]",是 隔壁 的 老爷爷
en,female,26.wav,"[(0, 1760)]","[('from', 0, 510), ('the', 510, 660), ('old', 660, 750), ('man', 750, 950), ('next', 950, 1260), ('door', 1260, 1760)]",from the old man next door
cn,female,24.wav,"[(0, 6800)]","[('明早', 0, 570), ('给', 570, 690), ('承包商', 690, 1150), ('打电话', 1150, 2510), ('然后', 2510, 3260), ('把', 3260, 3400), ('隔壁', 3400, 3700), ('的', 3700, 3910), ('那个', 3910, 4070), ('老头', 4070, 4650), ('彻底', 4650, 4940), ('忘掉', 4940, 5360), ('忘掉', 5360, 6660), ('了', 6660, 6800)]",明早 给 承包商 打电话 然后 把 隔壁 的 那个 老头 彻底 忘掉 忘掉 了
en,female,29.wav,"[(0, 6960)]","[('we', 0, 250), ('will', 250, 350), ('call', 350, 580), ('a', 580, 620), ('contractor', 620, 1130), ('in', 1130, 1260), ('the', 1260, 1450), ('morning', 1450, 2110), ('and', 2110, 2320), ('we', 2320, 2380), ('will', 2380, 2660), ('forget', 2660, 3130), ('the', 3130, 3250), ('old', 3250, 3430), ('man', 3430, 3660), ('even', 3660, 3820), ('exists', 3820, 4490), ('forgotten', 4490, 6960)]",we will call a contractor in the morning and we will forget the old man even exists forgotten
cn,female,26.wav,"[(0, 2900)]","[('请', 0, 160), ('你', 160, 220), ('给', 220, 840), ('我', 840, 1020), ('画', 1020, 1890), ('只', 1890, 2070), ('绵羊', 2070, 2570), ('吧', 2570, 2900)]",请 你 给 我 画 只 绵羊 吧
en,female,33.wav,"[(435, 2020)]","[('if', 435, 615), ('you', 615, 825), ('please', 825, 1245), ('draw', 1245, 1405), ('me', 1405, 1585), ('a', 1585, 1635), ('sheep', 1635, 2020)]",if you please draw me a sheep
cn,female,27.wav,"[(0, 1500)]","[('请', 0, 130), ('你', 130, 230), ('给', 230, 380), ('我', 380, 450), ('画', 450, 660), ('只', 660, 900), ('绵羊', 900, 1430), ('吧', 1430, 1500)]",请 你 给 我 画 只 绵羊 吧
en,female,34.wav,"[(435, 2000)]","[('if', 435, 625), ('you', 625, 765), ('please', 765, 1285), ('draw', 1285, 1455), ('me', 1455, 1635), ('a', 1635, 1715), ('sheep', 1715, 2000)]",if you please draw me a sheep
cn,female,29.wav,"[(0, 1070)]","[('这', 0, 150), ('跟', 150, 280), ('我', 280, 410), ('想要', 410, 740), ('的', 740, 850), ('一模一样', 850, 1070)]",这 跟 我 想要 的 一模一样
en,female,38.wav,"[(290, 2480)]","[('that', 290, 460), ('is', 460, 660), ('exactly', 660, 1350), ('the', 1350, 1500), ('way', 1500, 1660), ('i', 1660, 1750), ('wanted', 1750, 2310), ('it', 2310, 2480)]",that is exactly the way i wanted it
cn,female,30.wav,"[(0, 1220)]","[('我', 0, 80), ('只是', 80, 410), ('来', 410, 500), ('把', 500, 560), ('画', 560, 650), ('还给', 650, 1030), ('你', 1030, 1120), ('的', 1120, 1220)]",我 只是 来 把 画 还给 你 的
en,female,41.wav,"[(0, 1900)]","[('i', 0, 60), ('just', 60, 320), ('want', 320, 600), ('to', 600, 880), ('give', 880, 1090), ('your', 1090, 1200), ('drawing', 1200, 1600), ('back', 1600, 1900)]",i just want to give your drawing back
cn,female,32.wav,"[(0, 4100)]","[('你', 0, 70), ('画', 70, 330), ('的', 330, 820), ('很', 820, 1170), ('好', 1170, 1510), ('你', 1510, 1660), ('的', 1660, 1770), ('故事', 1770, 2090), ('我', 2090, 2280), ('也', 2280, 2440), ('读', 2440, 2770), ('了', 2770, 2880), ('很', 2880, 3610), ('入迷', 3610, 4100)]",你 画 的 很 好 你 的 故事 我 也 读 了 很 入迷
en,female,43.wav,"[(0, 3780)]","[('it', 0, 70), ('is', 70, 180), ('nice', 180, 1080), ('i', 1080, 1430), ('read', 1430, 1660), ('the', 1660, 1810), ('story', 1810, 2180), ('too', 2180, 2310), ('attentively', 2310, 3780)]",it is nice i read the story too attentively
cn,female,36.wav,"[(0, 2180)]","[('我们', 0, 180), ('还', 180, 440), ('没', 440, 980), ('学', 980, 1310), ('过', 1310, 1550), ('小行星', 1550, 2180)]",我们 还 没 学 过 小行星
en,female,48.wav,"[(0, 2800)]","[('oh', 0, 460), ('we', 460, 540), ('did', 540, 690), ('not', 690, 950), ('cover', 950, 2270), ('asteroids', 2270, 2800)]",oh we did not cover asteroids
cn,female,37.wav,"[(330, 1560)]","[('小', 330, 490), ('狐狸', 490, 610), ('你', 610, 740), ('叫', 740, 1000), ('什么', 1000, 1250), ('名字', 1250, 1560)]",小 狐狸 你 叫 什么 名字
en,female,50.wav,"[(255, 1240)]","[('what', 255, 365), ('is', 365, 485), ('your', 485, 595), ('name', 595, 685), ('little', 685, 1004), ('fox', 1004, 1240)]",what is your name little fox
cn,female,41.wav,"[(0, 970)]","[('他', 0, 170), ('留下', 170, 490), ('了', 490, 560), ('她', 560, 630), ('一个人', 630, 970)]",他 留下 了 她 一个人
en,female,55.wav,"[(0, 2080)]","[('he', 0, 380), ('left', 380, 730), ('her', 730, 1510), ('alone', 1510, 2080)]",he left her alone
cn,female,43.wav,"[(0, 4140)]","[('你', 0, 90), ('的', 90, 230), ('桌子', 230, 470), ('上', 470, 640), ('一', 640, 700), ('团', 700, 970), ('乱', 970, 1160), ('今天', 1160, 1720), ('的', 1720, 1920), ('学习', 1920, 2160), ('计划', 2160, 2470), ('完成', 2470, 2790), ('了', 2790, 3440), ('吗', 3440, 4090), ('额', 4090, 4140)]",你 的 桌子 上 一 团 乱 今天 的 学习 计划 完成 了 吗 额
en,female,56.wav,"[(0, 4980)]","[('your', 0, 110), ('desk', 110, 430), ('is', 430, 840), ('a', 840, 900), ('mess', 900, 1120), ('did', 1120, 1590), ('you', 1590, 1660), ('finish', 1660, 2540), ('your', 2540, 2850), ('study', 2850, 3180), ('work', 3180, 3960), ('for', 3960, 4730), ('today', 4730, 4900), ('ah', 4900, 4980)]",your desk is a mess did you finish your study work for today ah
cn,female,45.wav,"[(0, 1680)]","[('那', 0, 200), ('你', 200, 370), ('今天', 370, 800), ('一', 800, 840), ('天', 840, 1040), ('在', 1040, 1180), ('干嘛', 1180, 1680)]",那 你 今天 一 天 在 干嘛
en,female,58.wav,"[(0, 1480)]","[('well', 0, 480), ('what', 480, 750), ('have', 750, 910), ('you', 910, 1050), ('been', 1050, 1190), ('doing', 1190, 1480)]",well what have you been doing
cn,female,46.wav,"[(0, 980)]","[('我', 0, 70), ('读', 70, 210), ('了', 210, 270), ('很', 270, 580), ('多', 580, 690), ('东西', 690, 980)]",我 读 了 很 多 东西
en,female,59.wav,"[(465, 1100)]","[('i', 465, 565), ('read', 565, 865), ('a', 865, 895), ('lot', 895, 1100)]",i read a lot
cn,female,52.wav,"[(0, 2200)]","[('我', 0, 130), ('觉得', 130, 460), ('我', 460, 660), ('有点', 660, 1030), ('不想', 1030, 1460), ('长大', 1460, 1780), ('了', 1780, 2200)]",我 觉得 我 有点 不想 长大 了
en,female,73.wav,"[(265, 1635)]","[('i', 265, 305), ('am', 305, 365), ('not', 365, 465), ('so', 465, 635), ('sure', 635, 935), ('i', 935, 965), ('want', 965, 1095), ('to', 1095, 1155), ('grow', 1155, 1255), ('up', 1255, 1365), ('anymore', 1365, 1635)]",i am not so sure i want to grow up anymore
cn,female,53.wav,"[(0, 1310)]","[('我', 0, 80), ('绝对', 80, 710), ('不想', 710, 1030), ('忘记', 1030, 1180), ('这', 1180, 1310)]",我 绝对 不想 忘记 这
en,female,74.wav,"[(300, 2060)]","[('i', 300, 390), ('definitely', 390, 1190), ('do', 1190, 1340), ('not', 1340, 1440), ('want', 1440, 1610), ('to', 1610, 1670), ('forget', 1670, 2060)]",i definitely do not want to forget
cn,female,54.wav,"[(0, 3440)]","[('你', 0, 80), ('连', 80, 510), ('脚', 510, 800), ('都', 800, 860), ('没有', 860, 1200), ('你', 1200, 1260), ('甚至', 1260, 2080), ('不能', 2080, 2450), ('去', 2450, 2640), ('旅行', 2640, 3440)]",你 连 脚 都 没有 你 甚至 不能 去 旅行
en,female,77.wav,"[(0, 3440)]","[('you', 0, 200), ('haven', 200, 720), ('not', 720, 810), ('any', 810, 980), ('feet', 980, 1690), ('you', 1690, 1950), ('cannot', 1950, 2410), ('even', 2410, 2800), ('travel', 2800, 3440)]",you haven not any feet you cannot even travel
cn,female,60.wav,"[(0, 1840)]","[('来得', 0, 690), ('正', 690, 840), ('及时', 840, 1190), ('是', 1190, 1250), ('什么', 1250, 1580), ('意思', 1580, 1750), ('呀', 1750, 1840)]",来得 正 及时 是 什么 意思 呀
en,female,85.wav,"[(285, 2035)]","[('what', 285, 395), ('do', 395, 465), ('you', 465, 605), ('mean', 605, 995), ('just', 995, 1485), ('in', 1485, 1655), ('time', 1655, 2035)]",what do you mean just in time
cn,female,61.wav,"[(0, 1960)]","[('他', 0, 260), ('已经', 260, 630), ('拥有', 630, 1060), ('玫瑰', 1060, 1560), ('了', 1560, 1960)]",他 已经 拥有 玫瑰 了
en,female,86.wav,"[(0, 1200)]","[('but', 0, 100), ('he', 100, 280), ('already', 280, 530), ('has', 530, 720), ('his', 720, 1010), ('rose', 1010, 1200)]",but he already has his rose
cn,female,63.wav,"[(535, 2120)]","[('你', 535, 605), ('知', 605, 745), ('不知', 745, 875), ('道', 875, 1075), ('今天', 1075, 1325), ('是', 1325, 1425), ('我', 1425, 1505), ('的', 1505, 1615), ('生日', 1615, 2120)]",你 知 不知 道 今天 是 我 的 生日
en,female,90.wav,"[(0, 1960)]","[('did', 0, 290), ('you', 290, 370), ('know', 370, 890), ('it', 890, 1170), ('is', 1170, 1400), ('my', 1400, 1560), ('birthday', 1560, 1960)]",did you know it is my birthday
cn,female,73.wav,"[(0, 2840)]","[('如果', 0, 380), ('你', 380, 440), ('多', 440, 550), ('点', 550, 700), ('时间', 700, 990), ('陪', 990, 1380), ('我', 1380, 1690), ('你', 1690, 1990), ('就', 1990, 2170), ('会', 2170, 2400), ('明白', 2400, 2840)]",如果 你 多 点 时间 陪 我 你 就 会 明白
en,female,100.wav,"[(0, 2180)]","[('if', 0, 120), ('you', 120, 280), ('are', 280, 440), ('ever', 440, 880), ('around', 880, 1220), ('you', 1220, 1340), ('would', 1340, 1560), ('see', 1560, 1940), ('that', 1940, 2180)]",if you are ever around you would see that
cn,female,76.wav,"[(0, 1900)]","[('离', 0, 270), ('你', 270, 400), ('不见', 400, 870), ('踪影', 870, 1300), ('还有', 1300, 1570), ('多久', 1570, 1900)]",离 你 不见 踪影 还有 多久
en,female,103.wav,"[(0, 1800)]","[('how', 0, 250), ('long', 250, 340), ('until', 340, 590), ('you', 590, 740), ('completely', 740, 1260), ('disappear', 1260, 1800)]",how long until you completely disappear
cn,female,81.wav,"[(0, 3800)]","[('没关系', 0, 950), ('这', 950, 1120), ('是', 1120, 1180), ('最后', 1180, 1430), ('一次', 1430, 1700), ('什么', 1700, 2029), ('我们', 2029, 2620), ('去', 2620, 2710), ('把', 2710, 2890), ('飞机', 2890, 3260), ('发动', 3260, 3500), ('起来', 3500, 3800)]",没关系 这 是 最后 一次 什么 我们 去 把 飞机 发动 起来
en,female,109.wav,"[(280, 4520)]","[('it', 280, 400), ('is', 400, 610), ('okay', 610, 790), ('this', 790, 940), ('will', 940, 1030), ('be', 1030, 1140), ('the', 1140, 1350), ('last', 1350, 1540), ('time', 1540, 1980), ('what', 1980, 2200), ('let', 2200, 2480), ('go', 2480, 2780), ('get', 2780, 3260), ('that', 3260, 3680), ('plane', 3680, 4350), ('earning', 4350, 4520)]",it is okay this will be the last time what let go get that plane earning
cn,female,83.wav,"[(0, 1120)]","[('我们', 0, 270), ('得', 270, 330), ('先', 330, 450), ('把', 450, 550), ('机翼', 550, 640), ('修好', 640, 1120)]",我们 得 先 把 机翼 修好
en,female,111.wav,"[(0, 1220)]","[('we', 0, 70), ('are', 70, 100), ('gonna', 100, 220), ('have', 220, 310), ('to', 310, 370), ('fix', 370, 590), ('our', 590, 770), ('wings', 770, 1050), ('first', 1050, 1220)]",we are gonna have to fix our wings first
cn,female,88.wav,"[(0, 1440)]","[('你', 0, 100), ('说', 100, 270), ('过', 270, 360), ('他', 360, 490), ('就', 490, 700), ('在', 700, 860), ('天上', 860, 1150), ('不是吗', 1150, 1440)]",你 说 过 他 就 在 天上 不是吗
en,female,123.wav,"[(0, 1860)]","[('you', 0, 150), ('said', 150, 420), ('he', 420, 550), ('is', 550, 650), ('up', 650, 900), ('there', 900, 1330), ('did', 1330, 1600), ('not', 1600, 1750), ('you', 1750, 1860)]",you said he is up there did not you
cn,female,92.wav,"[(0, 920)]","[('抬头', 0, 250), ('看', 250, 340), ('天上', 340, 610), ('的', 610, 670), ('星星', 670, 920)]",抬头 看 天上 的 星星
en,female,126.wav,"[(0, 1240)]","[('just', 0, 210), ('look', 210, 350), ('at', 350, 470), ('the', 470, 620), ('stars', 620, 1240)]",just look at the stars
cn,female,95.wav,"[(0, 1090)]","[('我', 0, 90), ('不要', 90, 320), ('他', 320, 600), ('帮忙', 600, 1090)]",我 不要 他 帮忙
en,female,129.wav,"[(0, 1020)]","[('i', 0, 70), ('do', 70, 270), ('not', 270, 360), ('want', 360, 650), ('his', 650, 780), ('help', 780, 1020)]",i do not want his help
cn,female,96.wav,"[(0, 700)]","[('明天', 0, 250), ('是', 250, 330), ('重要', 330, 510), ('的', 510, 570), ('日子', 570, 700)]",明天 是 重要 的 日子
en,female,131.wav,"[(0, 960)]","[('tomorrow', 0, 390), ('is', 390, 490), ('an', 490, 570), ('important', 570, 890), ('day', 890, 960)]",tomorrow is an important day
cn,female,105.wav,"[(0, 4100)]","[('所以', 0, 380), ('呢', 380, 560), ('你', 560, 870), ('让', 870, 1130), ('我', 1130, 1270), ('把', 1270, 1390), ('这', 1390, 1480), ('本', 1480, 1710), ('书', 1710, 1770), ('看', 1770, 1920), ('一遍', 1920, 2250), ('一遍又一遍', 2250, 3160), ('直到', 3160, 3520), ('我', 3520, 3580), ('变', 3580, 3790), ('老', 3790, 4100)]",所以 呢 你 让 我 把 这 本 书 看 一遍 一遍又一遍 直到 我 变 老
en,female,161.wav,"[(0, 4080)]","[('so', 0, 250), ('what', 250, 650), ('i', 650, 680), ('am', 680, 800), ('supposed', 800, 1140), ('to', 1140, 1410), ('read', 1410, 1630), ('this', 1630, 1860), ('over', 1860, 2150), ('and', 2150, 2240), ('over', 2240, 2510), ('and', 2510, 2600), ('over', 2600, 3020), ('and', 3020, 3210), ('until', 3210, 3610), ('i', 3610, 3660), ('am', 3660, 3770), ('old', 3770, 4080)]",so what i am supposed to read this over and over and over and until i am old
cn,female,107.wav,"[(0, 3840)]","[('还', 0, 230), ('早', 230, 420), ('呢', 420, 500), ('去', 500, 800), ('学校', 800, 2029), ('之前', 2029, 2490), ('我们', 2490, 3080), ('要', 3080, 3330), ('去', 3330, 3410), ('一', 3410, 3440), ('趟', 3440, 3610), ('医院', 3610, 3840)]",还 早 呢 去 学校 之前 我们 要 去 一 趟 医院
en,female,172.wav,"[(0, 1860)]","[('we', 0, 90), ('need', 90, 320), ('to', 320, 400), ('stop', 400, 520), ('at', 520, 600), ('the', 600, 660), ('hospital', 660, 1100), ('before', 1100, 1350), ('school', 1350, 1860)]",we need to stop at the hospital before school
cn,female,109.wav,"[(0, 1400)]","[('我', 0, 70), ('要', 70, 230), ('给', 230, 480), ('你', 480, 570), ('看', 570, 810), ('个', 810, 890), ('东西', 890, 1400)]",我 要 给 你 看 个 东西
en,female,175.wav,"[(0, 1160)]","[('i', 0, 40), ('have', 40, 250), ('got', 250, 420), ('something', 420, 730), ('to', 730, 790), ('show', 790, 970), ('you', 970, 1160)]",i have got something to show you
cn,male,11.wav,"[(1155, 2220)]","[('警官', 1155, 1665), ('下午', 1665, 2055), ('好', 2055, 2220)]",警官 下午 好
en,male,15.wav,"[(0, 1680)]","[('very', 0, 260), ('good', 260, 380), ('afternoon', 380, 900), ('to', 900, 990), ('you', 990, 1170), ('officer', 1170, 1680)]",very good afternoon to you officer
cn,male,30.wav,"[(0, 2640)]","[('那', 0, 160), ('你', 160, 220), ('要', 220, 810), ('的', 810, 940), ('羊', 940, 1200), ('就', 1200, 1490), ('在', 1490, 1730), ('这里', 1730, 2640)]",那 你 要 的 羊 就 在 这里
en,male,38.wav,"[(0, 1420)]","[('the', 0, 150), ('sheep', 150, 420), ('you', 420, 520), ('ask', 520, 700), ('for', 700, 870), ('is', 870, 970), ('inside', 970, 1420)]",the sheep you ask for is inside
cn,male,32.wav,"[(1045, 1780)]","[('哦', 1045, 1085), ('哦', 1085, 1115), ('你', 1115, 1175), ('不', 1175, 1255), ('喜欢', 1255, 1780)]",哦 哦 你 不 喜欢
en,male,41.wav,"[(640, 2560)]","[('oh', 640, 910), ('you', 910, 990), ('did', 990, 1720), ('not', 1720, 2029), ('like', 2029, 2190), ('it', 2190, 2560)]",oh you did not like it
cn,male,40.wav,"[(0, 4380)]","[('哦', 0, 80), ('他', 80, 200), ('没法', 200, 900), ('回答', 900, 2000), ('你我', 2000, 2620), ('一直', 2620, 2970), ('想', 2970, 3180), ('给', 3180, 3320), ('他', 3320, 3420), ('缝', 3420, 3570), ('一', 3570, 3680), ('张嘴', 3680, 4380)]",哦 他 没法 回答 你我 一直 想 给 他 缝 一 张嘴
en,male,49.wav,"[(0, 5400)]","[('hello', 0, 840), ('he', 840, 1390), ('can', 1390, 1830), ('not', 1830, 2029), ('answer', 2029, 2180), ('you', 2180, 2380), ('keep', 2380, 2530), ('managing', 2530, 3070), ('to', 3070, 3430), ('saw', 3430, 3750), ('him', 3750, 3960), ('a', 3960, 4040), ('mouth', 4040, 5400)]",hello he can not answer you keep managing to saw him a mouth
cn,male,46.wav,"[(0, 890)]","[('星星', 0, 500), ('出来', 500, 720), ('了', 720, 890)]",星星 出来 了
en,male,58.wav,"[(0, 5040)]","[('like', 0, 360), ('that', 360, 1330), ('stars', 1330, 2170), ('are', 2170, 2380), ('out', 2380, 5040)]",like that stars are out
cn,male,49.wav,"[(0, 5020)]","[('我', 0, 230), ('现在', 230, 1730), ('变成', 1730, 2250), ('大人', 2250, 2730), ('了', 2730, 3010), ('但', 3010, 3190), ('我', 3190, 3250), ('从来没有', 3250, 3960), ('忘记', 3960, 4260), ('小', 4260, 4550), ('王子', 4550, 5020)]",我 现在 变成 大人 了 但 我 从来没有 忘记 小 王子
en,male,70.wav,"[(735, 4745)]","[('i', 735, 995), ('managed', 995, 1455), ('to', 1455, 1535), ('grow', 1535, 1945), ('up', 1945, 2205), ('and', 2205, 2745), ('i', 2745, 2845), ('never', 2845, 3285), ('forgot', 3285, 3765), ('the', 3765, 3925), ('little', 3925, 4195), ('prince', 4195, 4745)]",i managed to grow up and i never forgot the little prince
cn,male,50.wav,"[(0, 3700)]","[('我', 0, 100), ('比', 100, 250), ('国王', 250, 640), ('的', 640, 730), ('手指头', 730, 1180), ('还', 1180, 2470), ('要强', 2470, 3620), ('大', 3620, 3700)]",我 比 国王 的 手指头 还 要强 大
en,male,72.wav,"[(0, 5260)]","[('but', 0, 980), ('i', 980, 1040), ('am', 1040, 2009), ('more', 2009, 2230), ('powerful', 2230, 2860), ('than', 2860, 3050), ('the', 3050, 3140), ('finger', 3140, 4140), ('of', 4140, 4950), ('the', 4950, 5010), ('king', 5010, 5260)]",but i am more powerful than the finger of the king
cn,male,59.wav,"[(0, 3580)]","[('等', 0, 150), ('你', 150, 280), ('学会', 280, 680), ('了', 680, 1030), ('你', 1030, 1290), ('就', 1290, 1590), ('永远', 1590, 2120), ('不会', 2120, 2470), ('寂寞', 2470, 3070), ('了', 3070, 3580)]",等 你 学会 了 你 就 永远 不会 寂寞 了
en,male,83.wav,"[(0, 3800)]","[('if', 0, 160), ('you', 160, 330), ('can', 330, 490), ('do', 490, 680), ('that', 680, 1660), ('you', 1660, 1720), ('will', 1720, 1810), ('never', 1810, 2090), ('be', 2090, 2240), ('lonely', 2240, 3590), ('again', 3590, 3800)]",if you can do that you will never be lonely again
cn,male,64.wav,"[(0, 3440)]","[('如果', 0, 440), ('如果', 440, 1340), ('我', 1340, 1400), ('能', 1400, 1860), ('让', 1860, 2220), ('飞机', 2220, 2580), ('飞', 2580, 2820), ('起来', 2820, 3170), ('的话', 3170, 3440)]",如果 如果 我 能 让 飞机 飞 起来 的话
en,male,87.wav,"[(0, 2200)]","[('if', 0, 250), ('i', 250, 400), ('get', 400, 490), ('that', 490, 1160), ('old', 1160, 1470), ('plane', 1470, 1870), ('running', 1870, 2200)]",if i get that old plane running
cn,male,66.wav,"[(0, 2980)]","[('你', 0, 170), ('知道', 170, 960), ('我', 960, 1120), ('该', 1120, 1310), ('去', 1310, 1470), ('找', 1470, 1620), ('小', 1620, 1870), ('王子', 1870, 2350), ('了', 2350, 2460), ('的话', 2460, 2980)]",你 知道 我 该 去 找 小 王子 了 的话
en,male,89.wav,"[(1165, 2660)]","[('you', 1165, 1265), ('know', 1265, 1345), ('go', 1345, 1405), ('be', 1405, 1575), ('with', 1575, 1755), ('the', 1755, 1855), ('little', 1855, 2125), ('prince', 2125, 2660)]",you know go be with the little prince
cn,male,76.wav,"[(0, 4320)]","[('狐狸', 0, 210), ('先生', 210, 4320)]",狐狸 先生
en,male,102.wav,"[(0, 6980)]","[('ah', 0, 70), ('mr', 70, 4630), ('fox', 4630, 6980)]",ah mr fox
cn,male,79.wav,"[(0, 4740)]","[('天亮', 0, 2410), ('时', 2410, 3180), ('我们', 3180, 3480), ('找到', 3480, 3900), ('了', 3900, 4090), ('一口', 4090, 4290), ('井', 4290, 4740)]",天亮 时 我们 找到 了 一口 井
en,male,107.wav,"[(0, 5080)]","[('we', 0, 70), ('found', 70, 2350), ('a', 2350, 2610), ('well', 2610, 3060), ('at', 3060, 3320), ('daybreak', 3320, 5080)]",we found a well at daybreak
cn,male,81.wav,"[(0, 1240)]","[('孩子', 0, 720), ('听', 720, 920), ('我', 920, 1010), ('说', 1010, 1240)]",孩子 听 我 说
en,male,109.wav,"[(0, 1240)]","[('now', 0, 300), ('now', 300, 540), ('listen', 540, 1240)]",now now listen
cn,male,82.wav,"[(0, 2020)]","[('那天', 0, 420), ('我', 420, 580), ('干', 580, 750), ('了', 750, 810), ('一', 810, 900), ('件', 900, 1170), ('不好', 1170, 1560), ('的', 1560, 1660), ('事情', 1660, 2020)]",那天 我 干 了 一 件 不好 的 事情
en,male,110.wav,"[(0, 990)]","[('i', 0, 70), ('made', 70, 260), ('a', 260, 290), ('big', 290, 480), ('mistake', 480, 720), ('the', 720, 810), ('other', 810, 920), ('day', 920, 990)]",i made a big mistake the other day
cn,male,83.wav,"[(0, 1740)]","[('以后', 0, 360), ('你', 360, 490), ('不能', 490, 850), ('再', 850, 1080), ('到', 1080, 1230), ('这儿', 1230, 1470), ('来', 1470, 1670), ('了', 1670, 1740)]",以后 你 不能 再 到 这儿 来 了
en,male,111.wav,"[(0, 1200)]","[('you', 0, 70), ('can', 70, 260), ('not', 260, 390), ('come', 390, 600), ('over', 600, 810), ('here', 810, 900), ('anymore', 900, 1200)]",you can not come over here anymore
cn,male,88.wav,"[(0, 1260)]","[('我', 0, 160), ('只能', 160, 500), ('一个人', 500, 1110), ('走', 1110, 1260)]",我 只能 一个人 走
en,male,115.wav,"[(0, 1200)]","[('i', 0, 50), ('have', 50, 520), ('to', 520, 600), ('go', 600, 980), ('alone', 980, 1200)]",i have to go alone
cn,male,90.wav,"[(0, 2800)]","[('不知', 0, 180), ('道', 180, 380), ('怎么回事', 380, 840), ('他', 840, 990), ('知道', 990, 1260), ('我', 1260, 1400), ('的', 1400, 1590), ('飞机', 1590, 2210), ('修好', 2210, 2720), ('了', 2720, 2800)]",不知 道 怎么回事 他 知道 我 的 飞机 修好 了
